[0.002s][info][metaspace]  - commit_granule_bytes: 65536.
[8.613s][info][gc             ] GC(12) Pause Young (Allocation Failure) 122M->18M(354M) 15.073ms
[8.613s][info][gc,cpu         ] GC(12) User=0.02s Sys=0.01s Real=0.02s
[9.546s][info][gc,start       ] GC(13) Pause Young (Allocation Failure)
[9.558s][info][gc,heap        ] GC(13) PSYoungGen: 187375K(187392K)->3058K(188928K) Eden: 179712K(179712K)->0K(179712K) From: 7663K(7680K)->3058K(9216K)
[9.558s][info][gc,heap        ] GC(13) ParOldGen: 11338K(175104K)->12158K(175104K)
[9.558s][info][gc,metaspace   ] GC(13) Metaspace: 26040K(26176K)->26040K(26176K) NonClass: 23912K(24000K)->23912K(24000K) Class: 2128K(2176K)->2128K(2176K)
[9.558s][info][gc             ] GC(13) Pause Young (Allocation Failure) 194M->14M(355M) 11.433ms
[9.558s][info][gc,cpu         ] GC(13) User=0.02s Sys=0.00s Real=0.01s
[10.386s][info][gc,start       ] GC(14) Pause Young (Allocation Failure)
[10.418s][info][gc,heap        ] GC(14) PSYoungGen: 182770K(188928K)->8679K(293888K) Eden: 179712K(179712K)->0K(285184K) From: 3058K(9216K)->8679K(8704K)
[10.418s][info][gc,heap        ] GC(14) ParOldGen: 12158K(175104K)->14487K(175104K)
[10.418s][info][gc,metaspace   ] GC(14) Metaspace: 26204K(26368K)->26204K(26368K) NonClass: 24075K(24192K)->24075K(24192K) Class: 2128K(2176K)->2128K(2176K)
[10.418s][info][gc             ] GC(14) Pause Young (Allocation Failure) 190M->22M(458M) 32.079ms
[10.418s][info][gc,cpu         ] GC(14) User=0.05s Sys=0.02s Real=0.03s
[11.802s][info][gc,start       ] GC(15) Pause Young (Allocation Failure)
[11.815s][info][gc,heap        ] GC(15) PSYoungGen: 293863K(293888K)->5586K(296448K) Eden: 285184K(285184K)->0K(285184K) From: 8679K(8704K)->5586K(11264K)
[11.815s][info][gc,heap        ] GC(15) ParOldGen: 14487K(175104K)->15005K(175104K)
[11.815s][info][gc,metaspace   ] GC(15) Metaspace: 26445K(26560K)->26445K(26560K) NonClass: 24316K(24384K)->24316K(24384K) Class: 2128K(2176K)->2128K(2176K)
[11.815s][info][gc             ] GC(15) Pause Young (Allocation Failure) 301M->20M(460M) 12.240ms
[11.815s][info][gc,cpu         ] GC(15) User=0.02s Sys=0.01s Real=0.01s
[12.768s][info][gc,start       ] GC(16) Pause Young (Allocation Failure)
[12.780s][info][gc,heap        ] GC(16) PSYoungGen: 290770K(296448K)->5818K(322048K) Eden: 285184K(285184K)->0K(311808K) From: 5586K(11264K)->5818K(10240K)
[12.780s][info][gc,heap        ] GC(16) ParOldGen: 15005K(175104K)->15844K(175104K)
[12.780s][info][gc,metaspace   ] GC(16) Metaspace: 26575K(26752K)->26575K(26752K) NonClass: 24446K(24576K)->24446K(24576K) Class: 2129K(2176K)->2129K(2176K)
[12.780s][info][gc             ] GC(16) Pause Young (Allocation Failure) 298M->21M(485M) 11.464ms
[12.780s][info][gc,cpu         ] GC(16) User=0.02s Sys=0.01s Real=0.02s
[13.860s][info][gc,start       ] GC(17) Pause Young (Allocation Failure)
[13.873s][info][gc,heap        ] GC(17) PSYoungGen: 317626K(322048K)->9098K(321024K) Eden: 311808K(311808K)->0K(311808K) From: 5818K(10240K)->9098K(9216K)
[13.873s][info][gc,heap        ] GC(17) ParOldGen: 15844K(175104K)->16188K(175104K)
[13.873s][info][gc,metaspace   ] GC(17) Metaspace: 26751K(26944K)->26751K(26944K) NonClass: 24620K(24768K)->24620K(24768K) Class: 2130K(2176K)->2130K(2176K)
[13.873s][info][gc             ] GC(17) Pause Young (Allocation Failure) 325M->24M(484M) 13.287ms
[13.873s][info][gc,cpu         ] GC(17) User=0.01s Sys=0.01s Real=0.01s
[15.037s][info][gc,start       ] GC(18) Pause Young (Allocation Failure)
[15.052s][info][gc,heap        ] GC(18) PSYoungGen: 320906K(321024K)->8458K(321024K) Eden: 311808K(311808K)->0K(309248K) From: 9098K(9216K)->8458K(11776K)
[15.052s][info][gc,heap        ] GC(18) ParOldGen: 16188K(175104K)->16581K(175104K)
[15.052s][info][gc,metaspace   ] GC(18) Metaspace: 26888K(27072K)->26888K(27072K) NonClass: 24758K(24896K)->24758K(24896K) Class: 2130K(2176K)->2130K(2176K)
